Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1016894;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GRXXL;374;RE;700;700;SEGURIDAD;356;;356;50,86%;8/9/2026;175;
1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;374;RE;2000;2000;SEGURIDAD;1052;;1052;52,60%;8/9/2026;602;
1001696;ZSTO;POLAINA DESCARNE;374;RE;17;17;SEGURIDAD;2;7;9;52,94%;8/9/2026;6;
1015790;ZSSD;ESPONJA P/LAVAR VAJILLA X UN;374;RE;26;26;LIMPIEZA;14;;14;53,85%;8/9/2026;13;
1001717;ZSTO;PROTECTOR FACIAL BURBUJA INCOLORO;374;RE;120;120;SEGURIDAD;65;;65;54,17%;8/9/2026;29;
1017003;ZSSD;BATERIA 9V;374;RE;11;11;FERRETERIA;6;;6;54,55%;8/9/2026;8;
1047702;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.L;374;RE;65;65;INDUMENTARIA;36;;36;55,38%;8/9/2026;8;
1001891;ZSTO;PANOABSORVENTE PARAHIDROCARBUROXPAQ100;374;RE;9;9;LIMPIEZA;5;;5;55,56%;8/9/2026;3;
1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;374;RE;450;450;SEGURIDAD;250;;250;55,56%;8/9/2026;125;
1036100;ZSTO;CONO FLEX. C/REFLECT. Y BASE CAUCHO 70CM;374;RE;160;160;SEGURIDAD;90;;90;56,25%;8/9/2026;37;
1001778;ZSTO;YERBA MATE X 500GRS X UN;374;RE;1000;1000;ALIMENTOS;570;;570;57,00%;8/9/2026;210;
1017019;ZSSD;ABROCHADORA PINZA N10;374;RE;7;7;LIBRERIA;4;;4;57,14%;8/9/2026;2;
1042513;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N38;374;RE;12;12;SEGURIDAD;7;;7;58,33%;8/9/2026;3;
1016982;ZSSD;FOLIO A4 ST X100;374;RE;24;24;LIBRERIA;12;2;14;58,33%;8/9/2026;13;
