Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002624;ZSTO;FILTRO GASOIL;MR01;0374;AC04;V1;1;HB;3;2;0;0;0;0;F06;FILTRO COMBUSTIBLE;16767,14;ATLAS COPC // No aplica // No aplica // FLEETGUARD // DONALDSON;2657828816 // 219659 // 9414101756 // FS19732 // P550848;FILTROS;GROVE RT540E;7-PESADO;0,8;0;KG;1648,5;20;16767,15;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002628;ZSTO;FILTRO AIRE CABINA XUN;MR01;0374;AB04;V1;7;HB;14;10;0;0;0;0;F05;FILTRO AIRE CABINA;195215,1;JOHN DEERE;AT307501;FILTROS;JD 544K;9-FRAGIL;0,31;0;KG;4137,25;20;195215,11;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002629;ZSTO;FILTRO ACEITE GROVE 540E;MR01;0374;AB04;V1;2;HB;4;1;0;0;0;0;F03;FILTRO ACEITE;21274,74;MANITOWOK // No aplica // FLEETGUARD // DONALDSON;9414101679 // 3937736 // LF3970 // P550428;FILTROS;GROVE RT540E;8-VARIOS;0,56;0;KG;1080,945;15;21274,74;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002639;ZSTO;FILTRO DEPOSITO DIRECCION HIDRAULICA;MR01;0374;AB04;V1;2;HB;3;3;0;0;0;0;F07;FILTRO FLUIDO HIDR;2515,44;CNH INDUST // DONALDSON // No aplica // No aplica;1902137 // P550309 // T1100145397 // V600;FILTROS;VOLVO 330 // VW26310/IVECO/26280-19360;9-FRAGIL;0,149;0;KG;464,75;15;2515,45;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002642;ZSTO;FILTRO AIRE;MR01;0374;AC05;V1;1;HB;2;1;0;0;0;0;F04;FILTRO AIRE;25840,51;MOTORCRAFT // //;RFA6B // C17308 // P619859;FILTROS;FILTROS;9-FRAGIL;1,3;0;KG;21296;15;25840,51;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002650;ZSTO;FILTRO CORROSION KOMATSU XUN;MR01;0374;AB04;V1;1;HB;2;1;0;0;0;0;F02;FILTRO ANTICORROSI;16391,58;KOMATSU HO;6004111191;FILTROS;PC350LC8;8-VARIOS;0,49;0;KG;635,85;15;16391,58;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002656;ZSTO;FILTRO AIRE CABINA INTERIOR XUN;MR01;0374;AB04;V1;4;HB;7;7;0;0;0;0;F05;FILTRO AIRE CABINA;372444,17;KOMATSU HO // DONALDSON // HIFI FILTE;20Y9796261 // P500268 // SC 80019;FILTROS;KMS 155AX6;9-FRAGIL;0,17;0;KG;2160;15;372444,18;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002658;ZSTO;FILTRO HIDRAULICO KMS 155AX6 XUN;MR01;0374;AB04;V1;1;HB;2;1;0;0;0;0;F07;FILTRO FLUIDO HIDR;110716,39;KOMATSU HO // KOMATSU HO;2076071182 // 2076071181;FILTROS;KMS 155AX6 PC 350LC8;8-VARIOS;1,5;0;KG;8400;25;110716,39;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002660;ZSTO;FILTRO HIDRAULICO;MR01;0374;AB04;V1;1;HB;2;2;0;0;0;0;F07;FILTRO FLUIDO HIDR;59658,72;JOHN DEERE // JOHN DEERE // JOHN DEERE;AL160316 // AL160771 // AL203061;FILTROS;JD 6615;8-VARIOS;0,76;0;KG;2187;15;59658,71;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002667;ZSTO;FILTRO CARGA HIDRAULICA XUN;MR01;0374;AB04;V1;1;HB;2;3;0;0;0;0;F07;FILTRO FLUIDO HIDR;124763,52;BOBCAT;6692337;FILTROS;BOBCAT S185;8-VARIOS;0,25;0;KG;1152;15;124763,52;;;;;1;;1;;
