Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA
1016983;ZSSD;CUCHARA ALBANIL FORJADA 7PG;374;RE;30;30;FERRETERIA;20;;20;66,67%;8/9/2026
1025951;ZSSD;MECHA ACERO RAPIDO D8 MM;374;RE;12;12;FERRETERIA;8;;8;66,67%;8/9/2026
1025950;ZSSD;MECHA ACERO RAPIDO D6 MM;374;RE;12;12;FERRETERIA;8;;8;66,67%;8/9/2026
1001717;ZSTO;PROTECTOR FACIAL BURBUJA INCOLORO;374;RE;120;120;SEGURIDAD;80;;80;66,67%;8/9/2026
1025949;ZSSD;MECHA ACERO RAPIDO D10 MM;374;RE;12;12;FERRETERIA;8;;8;66,67%;8/9/2026
1017083;ZSSD;PILA ALCALINA AA;374;RE;30;30;FERRETERIA;20;;20;66,67%;8/9/2026
1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;374;RE;450;450;SEGURIDAD;300;;300;66,67%;8/9/2026
1016929;ZSSD;FRATACHO MADERA 30CM XUN;374;RE;30;30;FERRETERIA;20;;20;66,67%;8/9/2026
1002049;ZSTO;CAMPERA 2 PIEL T. S;374;RE;22;22;SEGURIDAD;15;;15;68,18%;8/9/2026
1002004;ZSTO;CAMISA JEAN T.46 C LOGO;374;RE;44;44;ROPA;30;;30;68,18%;8/9/2026
1017005;ZSSD;CADENA PLASTICA ROJA Y BLANCA X ML;374;RE;1000;1000;SEGURIDAD;700;;700;70,00%;8/9/2026
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;374;RE;45;45;PINTURAS;32;;32;71,11%;8/9/2026
1002007;ZSTO;CAMISA JEAN T.52 C LOGO;374;RE;14;14;ROPA;10;;10;71,43%;8/9/2026
1001676;ZSTO;CLAVOS P.PARIS 2 1 2 XKG;374;RE;220;220;ACEROS;160;;160;72,73%;8/9/2026
1001867;ZSTO;MARCADOR INDUSTRIAL-BLANCOXUN;374;RE;240;240;LIBRERIA;178;;178;74,17%;8/9/2026
1001687;ZSTO;ANTEOJO INCOLORO;374;RE;550;550;SEGURIDAD;410;;410;74,55%;8/9/2026
1001700;ZSTO;CASCO CARCAZA AMARILLO;374;RE;80;80;SEGURIDAD;60;;60;75,00%;8/9/2026
1001737;ZSTO;CRIQUETTENSORCONFAJA9METROSX10CMSGPLANO;374;RE;8;8;SEGURIDAD;6;;6;75,00%;8/9/2026
1047474;ZSCD;SOGA NAUTICA 16MM;374;RE;400;400;FERRETERIA;300;;300;75,00%;8/9/2026
1047703;ZSCD;CHALECO REFLECT. NARANJA C2 C/LOGO T.3XL;374;RE;16;16;INDUMENTARIA;12;;12;75,00%;8/9/2026
1042514;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N40;374;RE;45;45;SEGURIDAD;34;;34;75,56%;8/9/2026
1017011;ZSSD;CUADERNO ESPIRAL RAY A4 T.SEMIDURA 80 HJ;374;RE;13;13;LIBRERIA;10;;10;76,92%;8/9/2026
1046936;ZSCD;GUANTE LATEX NEGRO INDUSTRIAL T8 XPAR;374;RE;13;13;INDUMENTARIA;10;;10;76,92%;8/9/2026
1002003;ZSTO;CAMISA JEAN T.44 C LOGO;374;RE;35;35;ROPA;27;;27;77,14%;8/9/2026
1002052;ZSTO;CAMPERA 2 PIEL T. XL;374;RE;35;35;SEGURIDAD;27;;27;77,14%;8/9/2026
1001963;ZSTO;CINTA AISLADORA VERDE X10MT;374;RE;50;50;FERRETERIA;40;;40;80,00%;8/9/2026
1002011;ZSTO;PANTALON JEAN T.38;374;RE;10;10;ROPA;8;;8;80,00%;8/9/2026
1002000;ZSTO;CAMISA JEAN T.38 C LOGO;374;RE;25;25;ROPA;20;;20;80,00%;8/9/2026
1017008;ZSSD;ADHESIVO SINTETICO 50GR;374;RE;5;5;FERRETERIA;4;;4;80,00%;8/9/2026
1001894;ZSTO;ALCOHOL EN GEL X LITRO;374;RE;20;20;LIMPIEZA;16;;16;80,00%;8/9/2026
1001885;ZSTO;BOLSAS RESIDUOS XUN 102X130 VERDE;374;RE;750;750;LIMPIEZA;600;;600;80,00%;8/9/2026
1001960;ZSTO;CINTA AISLADORA AMARILLO X10MT;374;RE;50;50;FERRETERIA;40;;40;80,00%;8/9/2026
1016927;ZSSD;CLAVERA SIMPLE;374;RE;50;50;FERRETERIA;40;;40;80,00%;8/9/2026
1002056;ZSTO;CAMPERA ABRIGO T. S ROJA CON LOGO;374;RE;26;26;ROPA;21;;21;80,77%;8/9/2026
1001718;ZSTO;RODILLERA SOLDADOR;374;RE;85;85;SEGURIDAD;70;;70;82,35%;8/9/2026
1002015;ZSTO;PANTALON JEAN T.46;374;RE;30;30;ROPA;25;;25;83,33%;8/9/2026
1017023;ZSSD;CUADERNO ESPIRAL RAY A4 T.DURA 80 HJ;374;RE;12;12;LIBRERIA;10;;10;83,33%;8/9/2026
1001865;ZSTO;MARCADORINDUSTRIAL-VERDEXUN;374;RE;60;60;LIBRERIA;50;;50;83,33%;8/9/2026
1002012;ZSTO;PANTALON JEAN T.40;374;RE;30;30;ROPA;25;;25;83,33%;8/9/2026
1002013;ZSTO;PANTALON JEAN T.42;374;RE;30;30;ROPA;25;;25;83,33%;8/9/2026
1001727;ZSTO;PROTECTOR AUDITIVO COPA P/CASCO;374;RE;100;100;SEGURIDAD;85;;85;85,00%;8/9/2026
1035319;ZSSD;"ARCO SIERRA 12"" 300MM";374;RE;20;20;FERRETERIA;17;;17;85,00%;8/9/2026
1001699;ZSTO;CASCO CARCAZA BLANCO;374;RE;35;35;SEGURIDAD;30;;30;85,71%;8/9/2026
1002068;ZSTO;PANTALON PRIMERA PIEL T.XXL;374;RE;30;30;SEGURIDAD;26;;26;86,67%;8/9/2026
1002008;ZSTO;CAMISA JEAN T.54 C LOGO;374;RE;8;8;ROPA;7;;7;87,50%;8/9/2026
1047701;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.M;374;RE;40;40;INDUMENTARIA;35;;35;87,50%;8/9/2026
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;374;RE;500;500;FERRETERIA;444;;444;88,80%;8/9/2026
1042517;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N43;374;RE;45;45;SEGURIDAD;40;;40;88,89%;8/9/2026
1047700;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.S;374;RE;30;30;INDUMENTARIA;27;;27;90,00%;8/9/2026
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;374;RE;20;20;FERRETERIA;18;;18;90,00%;8/9/2026
1001878;ZSTO;CINTA DE ENMASCARAR 48MM X ROLLO;374;RE;140;140;LIBRERIA;127;;127;90,71%;8/9/2026
1001680;ZSTO;FICHA T.STECK HEMBRA 380V 32A T N XUN;374;RE;14;14;ELECTRICIDAD;13;;13;92,86%;8/9/2026
1001952;ZSTO;TRAPO LIMPIO (BOLSAX10KG) XUN;374;RE;15;15;FERRETERIA;14;;14;93,33%;8/9/2026
1017031;ZSSD;GUANTES ALTO IMPACTO X PAR;374;RE;750;750;INDUMENTARIA;702;;702;93,60%;8/9/2026
1001879;ZSTO;CINTA DE ENMASCARAR 24 MM XROLLO;374;RE;20;20;LIBRERIA;19;;19;95,00%;8/9/2026
1001971;ZSTO;ESMALTE SINT. AEROSOL ROJO X 440CC;374;RE;24;24;PINTURAS;23;;23;95,83%;8/9/2026
1015854;ZSSD;PRECINTO PLASTICO AL-4 X 200MM;374;RE;10;10;FERRETERIA;10;;10;100,00%;8/9/2026
1048842;ZSCD;CARTUCHO TONER NEXT ONE TN660/2370;374;RE;4;4;LIBRERIA;4;;4;100,00%;8/9/2026
1001982;ZSTO;VIDRIOP CARETASOLDADOR50X105MMTINTE10;374;RE;10;10;SOLDADURA;10;;10;100,00%;8/9/2026
1042520;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N46;374;RE;4;4;SEGURIDAD;4;;4;100,00%;8/9/2026
1001872;ZSTO;RESMA DE HOJA A3 75GR. X UN;374;RE;10;10;LIBRERIA;10;;10;100,00%;8/9/2026
1001674;ZSTO;CLAVOS P.PARIS 1 XKG;374;RE;60;60;ACEROS;60;;60;100,00%;8/9/2026
1026272;ZSCD;DELANTAL KEVLAR C TRIPLE PROT ABDOMINAL;374;RE;20;20;INDUMENTARIA;20;;20;100,00%;8/9/2026
1001892;ZSTO;BOLSAS RESIDUOS XUN 102X130ROJA100MICXUN;374;RE;500;500;LIMPIEZA;500;;500;100,00%;8/9/2026
1041938;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.L;374;RE;8;8;INDUMENTARIA;8;;8;100,00%;8/9/2026
1001959;ZSTO;CINTA TEFLON 3/4 X 20MT;374;RE;15;15;FERRETERIA;15;;15;100,00%;8/9/2026
1016968;ZSSD;PERFORADORA MET MIT 20-25 HJ C REGLA;374;RE;2;2;LIBRERIA;2;;2;100,00%;8/9/2026
1016976;ZSSD;MARCADOR P PIZARRA NEGRO;374;RE;20;20;LIBRERIA;20;;20;100,00%;8/9/2026
1001973;ZSTO;ESMALTE SINT. AEROSOL AZUL X440CC;374;RE;24;24;PINTURAS;24;;24;100,00%;8/9/2026
